Brand,Model,Color,Color,Retail_Price,Release_Date,Number_of_Sales,Price_Premium,Avg_Sale_Price
Nike,Jordan 1 Retro High Satin Shattered Backboard (W),Black,Black/Black-Starfish-Sail ,$160 ,5/5/18,10550,112.50%,$351 
Nike,Jordan 3 Retro Hall of Fame,White,White/Fire Red-Cement Grey-Black ,$190 ,5/12/18,5481,14.70%,$209 
Nike,Jordan 1 Mid Black Cone,Black,Black/Cone-Light Bone ,$110 ,9/15/18,70,4.50%,$119 
Nike,Jordan 11 Retro UNC Win Like 82,White,White/University Blue-Midnight Navy ,$220 ,11/11/17,7032,4.50%,$236 
Nike,Jordan 7 Retro Low Taxi,Yellow,Taxi/Taxi-Black-White-Cardinal Red ,$140 ,9/27/18,131,-7.10%,$149 
Nike,Jordan 13 Retro Bred (2017),Black,Black/True Red-White ,$190 ,8/19/17,3648,-5.30%,$194 
Nike,Jordan 11 Retro Low Cool Grey,Grey,Medium Grey/White-Gunsmoke ,$175 ,4/28/18,3436,2.30%,$178 
Nike,Jordan 3 Retro Flyknit Black,Black,Black/Black-Anthracite ,$200 ,8/15/18,1146,5.00%,$243 
Nike,Jordan 11 Retro 72-10,Black,Black/Gym Red-White-Anthracite ,$220 ,12/12/15,3560,9.50%,$285 
Nike,Jordan 4 Retro White Cement (2016),White,White/Fire Red-Black-Tech Grey ,$220 ,2/13/16,2517,56.40%,$300 
Nike,Jordan 11 Retro Low Derek Jeter RE2PECT,Blue,Binary Blue/Binary Blue-Sail ,$200 ,5/14/18,3601,-10.00%,$224 
Nike,Jordan 11 Retro Low Rose Gold (W),White,Sail/Metallic Red Bronze-Gum Medium Brown ,$175 ,4/13/18,1654,8.60%,$195 
Nike,Jordan 12 Retro French Blue (2016),White,White/French Blue-Metallic Silver-Varsity Red ,$190 ,4/2/16,989,31.60%,$235 
Nike,Jordan 9 Retro Bred Patent,Black,Black/University Red-Anthracite ,$190 ,3/10/18,4208,5.30%,$224 
Nike,Jordan 1 Retro High Game Royal (GS),Blue,Game Royal/Black-Summit White ,$120 ,3/24/18,4380,194.20%,$163 
Nike,"Jordan 1 Retro Bred ""Banned"" (2016)""",Black,Black/Varsity Red-White ,$160 ,9/3/16,2964,164.40%,$440 
Nike,Nike Blazer Mid Off-White All Hallow's Eve,Tan,Canvas/Total Orange-Pale Vanilla-Black ,$130 ,10/3/18,1903,393.80%,$673 
Nike,Nike Blazer Mid Off-White Grim Reaper,Black,Black/White-Cone-Black ,$130 ,10/3/18,1666,326.90%,$615 
Nike,Air Presto Mid Acronym Racer Pink,Pink,Racer Pink/Black-Photo Blue-White ,$200 ,9/20/18,3870,32.00%,$308 
Nike,Air Presto Mid Acronym Cool Grey,Grey,Cool Grey/Black ,$200 ,9/20/18,2263,10.00%,$249 
Nike,Air Presto Mid Acronym Dynamic Yellow,White,White/Black-Dynamic Yellow ,$200 ,9/20/18,2197,7.50%,$250 
Nike,Air Force 1 Ultra Flyknit Low RKK New England Patriots (2018),Red,University Red/College Navy-White ,$160 ,10/5/18,215,34.40%,$267 
Nike,Nike React Element 87 Blue Chill Solar Red,Black,Black/Cool Grey-Blue Chill-Solar Red ,$160 ,10/11/18,93,37.50%,$245 
Nike,Nike Zoom Fly Undercover Gyakusou Black,Black,Black/Sail-Mineral Yellow-Black ,$190 ,10/4/18,86,10.50%,$228 
Nike,Nike Zoom Fly Undercover Gyakusou Blue,Blue,Blue Nebula/Sail-Black-University Red ,$190 ,10/4/18,73,10.50%,$228 
Nike,Air Force 1 Low Travis Scott Sail,White,Sail/Sail-Gum Light Brown ,$150 ,8/10/18,7452,47.30%,$302 
Nike,Air Presto Off-White White (2018),White,White/Black-Cone ,$160 ,8/3/18,5093,255.60%,$674 
Nike,Air Force 1 Low White (2016),White,White/White ,$90 ,1/1/16,1186,-11.10%,$80 
Nike,Nike React Element 87 Knicks,Grey,Wolf Grey/Black-Thunder Blue ,$160 ,10/11/18,51,21.90%,$213 
Nike,LeBron 16 1 Thru 5 (What The),Multicolor,Multi-Color/Multi-Color ,$200 ,9/15/18,1429,94.00%,$317 
Nike,Air Presto Off-White Black (2018),Black,Black/White-Cone ,$160 ,7/27/18,5666,368.80%,$743 
Nike,Nike React Element 55 Black Aurora Green,Black,Black/Aurora Green-Cool Grey ,$130 ,9/29/18,329,-7.70%,$151 
Nike,Nike React Element 87 Undercover Green Mist,Green,Green Mist/Linen-Summit White ,$180 ,9/13/18,690,130.60%,$391 
Nike,LeBron 16 Fresh Bred,Black,Black/Black-University Red ,$185 ,9/20/18,387,-28.10%,$163 
Nike,Nike SB Dunk High Humidity,Yellow,Metallic Gold/Metallic Gold-Black ,$110 ,9/22/18,1086,70.90%,$213 
Nike,Nike Zoom Fly Undercover Gyakusou Ink,Black,Ink/Sail-Dark Grey-Black ,$190 ,10/4/18,41,-5.30%,$216 
Nike,Air Max 1/97 Sean Wotherspoon (Extra Lace Set Only),Blue,Light Blue Fury/Lemon Wash ,$160 ,3/26/18,8648,275.00%,$570 
Nike,Air Foamposite One Denim,Black,Obsidian/Black-University Red ,$230 ,9/28/18,349,-8.70%,$183 
Nike,Nike React Element 87 Undercover Volt,Green,Volt/University Red-Black-White ,$180 ,9/13/18,706,33.30%,$328 
Nike,Nike React Element 87 Undercover Light Beige Chalk,Tan,Light Biege Chalk/Signal Blue ,$180 ,9/13/18,645,56.10%,$311 
Nike,Nike Zoom VaporFly 4% Flyknit Bright Crimson,Red,Bright Crimson/Ice Blue-Total Crimson ,$250 ,10/4/18,181,19.60%,$354 
Nike,Nike React Element 87 Sail Light Bone,White,Sail/Light Bone-White-Rush Orange ,$160 ,7/13/18,4688,137.50%,$363 
Nike,Nike Zoom Fly Mercurial Off-White Total Orange,Orange,Total Orange/White-Volt ,$200 ,6/14/18,1989,30.00%,$298 
Nike,Air Force 1 Low Utility White Black,White,White/White-Black-Tour Yellow ,$100 ,10/1/18,49,20.00%,$119 
Nike,Air Force 1 Foamposite Cup Triple Black,Black,Black/Black-Black ,$200 ,2/3/18,697,-62.50%,$105 
Nike,Nike React Element 87 Black Neptune Green,Black,Black/Midnight Navy-Neptune Green ,$160 ,10/11/18,28,31.30%,$219 
Nike,Nike SB Gato Supreme White,White,White/White-Gym Red ,$110 ,8/30/18,1230,31.80%,$154 
Nike,Nike React Element 87 Desert Sand,Tan,Desert Sand/Cool Grey-Smokey Mauve ,$160 ,8/14/18,1892,18.80%,$212 
Nike,Air Max 1 Atmos Animal Pack 2.0 (2018 All Black Box),Tan,Wheat/Sport Red-Bison-Classic Green ,$160 ,3/17/18,5417,56.30%,$287 
Nike,Nike Zoom Fly Mercurial Off-White Black,Black,Black/Volt-White ,$200 ,6/14/18,2132,66.50%,$358 
Nike,Nike Zoom Fly SP Breaking 2 (2018),White,White/Sail-Bright Crimson ,$150 ,5/7/18,364,-54.00%,$113 
Nike,Nike React Element 55 Black White,Black,Black/White ,$130 ,9/29/18,215,-3.80%,$142 
Nike,Air Foamposite Pro Sequoia,Black,Sequoia/Black-Team Orange ,$230 ,8/16/18,431,-32.60%,$175 
Nike,Jordan 1 Mid South Beach,Green,Turbo Green/Black-Hyper Pink-Orange Peel ,$115 ,10/1/18,1910,22.60%,$167 
Nike,Jordan 1 Retro High Pine Green,Green,Pine Green/Sail-Black ,$160 ,9/22/18,12502,28.80%,$265 
Nike,Jordan 1 Retro High Court Purple,Purple,Court Purple/Black-Sail ,$160 ,9/22/18,7492,99.40%,$332 
Nike,Jordan 5 Retro Wings,Multicolor,Multi-Color/Multi-Color ,$200 ,9/29/18,2255,67.50%,$289 
Nike,Jordan 6 Retro Tinker,White,White/Infrared 23-Neutral Grey-Obsidian ,$190 ,10/6/18,316,2.60%,$193 
Nike,Jordan 1 Mid South Beach (GS),Green,Turbo Green/Black-Hyper Pink-Orange Peel ,$90 ,10/1/18,345,75.60%,$138 
Nike,Jordan 1 Retro High Court Purple (GS),Purple,Court Purple/Black-Sail ,$120 ,9/22/18,4018,191.70%,$321 
Nike,Jordan 1 Retro High Shadow (2018),Black,Black/Medium Grey-White ,$160 ,4/14/18,22008,9.40%,$208 
Nike,Jordan 5 Retro Grape Fresh Prince,White,White/New Emerald-Grape Ice-Black ,$190 ,9/25/18,1571,13.20%,$254 
Nike,Jordan 1 Mid Gym Red Black,Red,Gym Red/Black-White ,$110 ,6/1/18,1507,-20.00%,$125 
Nike,Jordan 1 Retro High Game Royal,Blue,Game Royal/Black-Summit White ,$160 ,3/24/18,16967,58.80%,$208 
Nike,Jordan 1 Retro High Homage To Home (Non-numbered),Black,Black/University Red-White ,$160 ,5/19/18,22759,117.50%,$267 
Nike,Jordan 4 Retro Travis Scott Cactus Jack,Blue,University Blue/Black-Varsity Red ,$225 ,6/9/18,14849,232.90%,$382 
Nike,Jordan 1 Retro High Bred Toe,Red,Gym Red/Black-Summit White ,$160 ,2/24/18,15956,177.50%,$303 
Nike,Jordan 6 Retro Tinker (GS),White,White/Infrared 23-Neutral Grey-Obsidian ,$140 ,10/6/18,87,-10.70%,$121 
Nike,Jordan 1 Retro High Off-White University Blue,White,White/Dark Powder Blue-Cone ,$190 ,6/23/18,15594,268.90%,$851 
Nike,Jordan 3 Retro Black Cement (2018),Black,Black/Fire Red-Cement Grey-White ,$200 ,2/17/18,20333,17.50%,$243 
Nike,Jordan 1 Retro High Pine Green (GS),Green,Pine Green/Sail-Black ,$120 ,9/22/18,1434,120.00%,$269 
Nike,Jordan 1 Retro High NRG Patent Gold Toe,Black,Black/Metallic Gold-Summit White ,$160 ,2/10/18,10445,143.80%,$252 
Nike,Jordan 12 Retro International Flight,Blue,College Navy/University Red-Sail ,$200 ,9/8/18,2564,3.50%,$203 
Nike,Jordan 5 Retro International Flight,White,Sail/Racer Blue-Cone-Black ,$190 ,8/25/18,1271,-28.40%,$152 
Nike,Jordan 3 Retro Tinker Hatfield,White,White/Black-Fire Red-Cement Grey ,$200 ,3/24/18,8832,2.50%,$276 
Nike,Jordan 5 Retro Wings (GS),Multicolor,Multi-Color/Multi-Color ,$160 ,9/29/18,313,38.80%,$213 
Nike,Jordan 4 Retro Raptors,Black,Black/Court Purple-University Red ,$200 ,8/18/18,2884,-10.00%,$239 
Nike,Jordan 13 Retro He Got Game (2018),White,White/True Red-Black ,$190 ,8/4/18,4475,31.10%,$208 
Nike,Jordan 11 Retro Win Like 96,Red,Gym Red/Black-White ,$220 ,12/9/17,9403,0.50%,$256 
Nike,Jordan 1 Retro High Clay Green,White,Summit White/Clay Green-Black ,$160 ,5/1/18,6993,29.40%,$220 
Nike,Jordan 1 Retro High Shadow 2018 (GS),Black,Black/Medium Grey-White ,$120 ,4/14/18,4099,50.00%,$142 
Nike,Jordan 3 Retro JTH Bio Beige,Tan,Bio Beige/Bio Beige-Camellia-Opti Yellow ,$250 ,8/28/18,2646,27.20%,$319 
Nike,Jordan 1 Retro High Nigel Sylvester,White,Sail/White-Varsity Red-Reflect Silver ,$180 ,9/1/18,3056,50.00%,$348 
Nike,Jordan 13 Retro He Got Game 2018 (GS),White,White/True Red-Black ,$140 ,8/4/18,3665,50.00%,$175 
Nike,Jordan 10 Retro Tinker,Blue,Racer Blue/Team Orange-Black ,$190 ,10/20/18,55,-2.60%,$185 
Nike,Jordan 1 Retro Royal (2017),Black,Black/Varsity Royal-White ,$160 ,4/1/17,6935,56.30%,$271 
Nike,Jordan 11 Retro Space Jam (2016),Black,Black/Dark Concord-White ,$220 ,12/10/16,5334,25.00%,$284 
Nike,Jordan 1 Retro High Blue Moon,White,Summit White/Blue Moon-Black ,$160 ,5/1/18,6510,140.00%,$231 
Nike,Jordan 11 Retro Platinum Tint,Grey,Platinum Tint/Sail-University Red-Black ,$220 ,10/27/18,36,25.00%,$313 
Nike,Jordan 1 Mid Multi-Color Swoosh (GS),Black,Black/White-University Red-Tour Yellow ,$90 ,6/1/18,175,65.60%,$123 
Nike,Jordan 11 Retro Cap and Gown,Black,Black/Black-Black ,$250 ,5/26/18,9767,27.60%,$324 
Nike,Jordan 5 Retro Paris Saint-Germain,Black,Black/Challenge Red-White ,$225 ,9/14/18,1854,4.40%,$265 
Nike,Jordan 1 Mid Gym Red Black (GS),Red,Gym Red/Black-White ,$90 ,6/1/18,250,8.90%,$101 
Nike,Air Vapormax Off White 2018,White,White/Total Orange-Black ,$250 ,4/14/18,5400,147.60%,$591 
Nike,Air VaporMax Off-White Black,Black,Black/Total Crimson-Clear ,$250 ,3/30/18,4371,166.00%,$623 
Nike,Air Force 1 Mid Supreme NBA Black,Black,Black/Black ,$165 ,3/8/18,4020,32.10%,$229 
Nike,Air Max 97 Metallic Gold (2018),Yellow,Metallic Gold/Varsity Red-White-Back ,$160 ,5/18/18,3474,12.50%,$185 
Nike,Nike Cortez Kenny 3 Kendrick Lamar TDE the Championship,Black,Black/White-Gym Red ,$100 ,6/22/18,3455,85.00%,$160 
Nike,Air Foamposite One Big Bang,Orange,Team Orange/Dark Grey-Black ,$230 ,1/4/18,2998,161.30%,$503 
Nike,Air Max 97 Off-White,White,White/Cone-Ice Blue ,$190 ,11/1/17,1977,347.40%,$639 
Nike,Nike Blazer Mid Off-White,White,White/Black-Muslin ,$130 ,9/9/17,1791,707.70%,$678 
Nike,Nike Zoom Fly Off-White,White,White/White-Muslin ,$170 ,11/1/17,1752,403.50%,$522 
Nike,Nike React Hyperdunk 2017 Flyknit Off-White,White,White/White-White ,$200 ,11/1/17,1727,217.50%,$479 
Nike,Kobe 1 Protro Undefeated Camo,Green,Deep Forest/Black-White ,$180 ,2/16/18,1703,44.40%,$435 
Nike,Air VaporMax Plus Triple Black,Black,Black/Black-Dark Grey ,$190 ,1/25/18,1629,14.70%,$215 
Nike,Air Force 1 Low CLOT 1WORLD (2018),White,White/White-White ,$200 ,2/1/18,1599,53.50%,$369 
Nike,Kobe 1 Protro Think 16 (Close Out),White,White/Del Sol-Varsity Purple ,$175 ,4/14/18,1538,-31.40%,$196 
Nike,Lunar Force 1 Low Acronym (AF100),White,White/White ,$200 ,12/3/17,1452,19.50%,$263 
Nike,Kyrie 4 Confetti,Multicolor,Multi-Color/Multi-Color ,$120 ,12/16/17,1340,110.00%,$248 
Nike,Kobe 1 Protro Black Maize,Black,Black/White-Varsity Maize ,$175 ,2/17/18,1328,-4.60%,$233 
Nike,Air Max 270 Dusty Cactus,Black,Black/White-Dusty Cactus ,$150 ,3/22/18,1318,23.30%,$173 
Nike,Air Max 1 Watermelon,White,Summit White/Kinetic Green-Pure Platinum-Sunset Pulse ,$110 ,3/20/18,1162,9.10%,$132 
Nike,LeBron Icon John Elliott White,White,White/Black ,$250 ,8/4/18,1041,10.00%,$325 
Nike,Air Force 1 High Just Don (AF100),White,White/White ,$200 ,12/1/17,1016,-7.50%,$233 
Nike,Jordan 1 Retro Mid New Love (2017),Black,Black/Varsity Maize-White ,$110 ,6/1/17,1540,163.60%,$238 
Nike,Jordan 18 Retro Toro,Red,Gym Red/Black ,$225 ,4/7/18,1538,-8.00%,$275 
Nike,Jordan 13 Retro Alternate History of Flight,White,White/Metallic Silver-University Red ,$190 ,7/22/17,1507,-26.30%,$157 
Nike,Jordan 1 Retro High Gatorade Cyber,Yellow,Cyber/Cyber ,$175 ,12/26/17,1423,-25.10%,$178 
Nike,Jordan 11 Retro Win Like 96 (GS),Red,Gym Red/Black-White ,$170 ,12/9/17,1435,35.30%,$193 
Nike,Jordan 12 Retro Flu Game (2016),Black,Black/Varsity Red ,$190 ,5/28/16,2344,46.30%,$286 
Nike,Jordan 1 Retro High Gatorade Orange Peel,Orange,Orange Peel/Orange Peel ,$175 ,12/26/17,1307,-42.90%,$125 
Nike,Jordan 13 Retro Altitude (2017),Black,Black/Altitude Green ,$190 ,12/21/17,1296,-24.70%,$148 
Nike,Jordan 6 Retro Wheat,Yellow,Golden Harvest/Golden Harvest-Sail ,$190 ,11/24/17,1279,-23.70%,$151 