Model,Color,Retail_Price,Release_Date,Number_of_Sales,Price_Premium,Avg_Sale_Price
adidas Yeezy Boost 350 V2 Beluga 2.0,Grey/Bold Orange/Dark Grey ,220,11/25/17,37501,100.00%,399
adidas Yeezy Boost 350 V2 Butter,Butter/Butter/Butter ,220,6/30/18,35599,16.80%,277
adidas Yeezy 500 Blush,Blush/Blush/Blush ,200,2/16/18,34960,65.00%,292
adidas Yeezy Boost 350 V2 Blue Tint,Blue Tint/Grey Three/High Risk Red ,220,12/16/17,32575,69.50%,380
adidas Yeezy Wave Runner 700 Solid Grey,Solid Grey/Chalk White/Core Black ,300,11/1/17,29730,12.30%,471
adidas Yeezy 500 Utility Black,Utility Black/Utility Black/Utility Black ,200,7/7/18,18032,59.50%,273
adidas Yeezy Boost 350 V2 Cream/Triple White,Cream White/Cream White ,220,4/29/17,16920,9.10%,368
adidas Yeezy 500 Super Moon Yellow,Super Moon Yellow/Super Moon Yellow/Super Moon Yellow ,200,6/9/18,10315,19.00%,253
adidas Yeezy Boost 350 V2 Zebra,White/Core Black/Red ,220,2/25/17,9949,68.20%,530
adidas Yeezy Powerphase Calabasas Core Black,Core Black/Core Black/Core Black ,120,3/17/18,8023,-5.80%,122
adidas Yeezy Powerphase Calabasas Grey,Grey/Grey/Grey ,120,12/9/17,7952,33.30%,159
adidas Yeezy Boost 350 V2 Semi Frozen Yellow,Semi Frozen Yellow/Raw Steel/Red ,220,11/18/17,5947,80.50%,637
adidas Ultra Boost 4.0 Triple Black,Black/Black/Black ,200,11/30/17,4069,-10.00%,220
adidas NMD XR1 OG Black,Core Black/Core Black/Footwear White ,150,5/20/17,3922,-0.70%,151
adidas Human Race NMD Pharrell Holi Festival (Core Black),Core Black/Deepest Purple/Core Black ,250,3/16/18,3778,59.60%,412
adidas Ultra Boost 4.0 Running White,Running White/Running White/Running White ,180,11/30/17,3760,-32.80%,145
adidas Human Race NMD Pharrell Holi Festival (Chalk Coral),Chalk Coral/Flash Green-Lab Purple ,250,3/16/18,3688,-6.00%,360
adidas Yeezy Powerphase Calabasas Core White,Core White/Core White/Core White ,120,3/28/17,3535,91.70%,268
adidas Human Race NMD Pharrell Holi Festival (Pink Glow),Pink Glow/Flash Green/Lab Purple ,250,3/16/18,3347,--,346
adidas NMD R1 Japan Triple White,Footwear White/Footwear White/Footwear White ,180,8/11/17,2981,-27.80%,171
adidas Yeezy Boost 350 V2 Black Red,Core Black/Core Black/Red ,220,2/11/17,2876,345.50%,842
adidas Ultra Boost 4.0 Cookies and Cream,Footwear White/Footwear White/Grey Two ,200,2/6/18,2845,20.00%,232
adidas Ultra Boost 4.0 Core Black,Core Black/Core Black/Core Black ,180,11/30/17,2716,-27.80%,147
adidas NMD R1 Japan Triple Black,Core Black/Core Black/Core Black ,180,8/11/17,2624,41.70%,248
adidas Human Race NMD Pharrell Oreo,Core Black/Footwear White/Footwear White ,240,11/11/17,2623,50.00%,515
adidas Human Race NMD Pharrell Blank Canvas,Cream White/Running White/Running White ,250,2/23/18,2596,60.00%,445
adidas Human Race NMD Pharrell Multi-Color,Noble Ink/Bold Yellow/Footwear White ,240,11/11/17,2502,18.80%,404
adidas Human Race NMD Pharrell Pale Nude,Pale Nude/Core Black/Yellow ,240,11/11/17,2499,43.80%,440
adidas Dame 4 A Bathing Ape Camo,Black/Green/Gum ,150,2/16/18,2047,96.70%,323
adidas NMD R1 STLT Triple Black,Core Black/Utility Black/Solar Pink ,170,3/31/18,2003,-47.10%,106
adidas NMD Hu Pharrell Solar Pack Red,White/Black/Red ,250,8/18/18,1995,18.00%,300
adidas Ultra Boost 5th Anniversary Black,Black/Iron ,220,2/1/18,1763,-39.10%,164
adidas Ultra Boost 3.0 Triple White,White/White/White ,180,12/6/16,1760,5.00%,162
adidas NMD R1 Neighborhood Core Black,Core Black/Footwear White/Core Black ,200,2/24/18,1747,75.00%,299
adidas Yeezy Boost 350 V2 Core Black White,Core Black/Core White/Core Black ,220,12/17/16,1715,209.10%,751
adidas Human Race NMD Pharrell Sun Glow,Sun Glow/Core Black/Equipment Yellow ,240,11/11/17,1663,2.10%,422
adidas NMD Hu Pharrell Solar Pack Mother,White/Pink/Yellow ,250,8/18/18,1618,-16.00%,283
adidas ZX 500 Dragon Ball Z Son Goku,Orange/Collegiate Royal/Hi-Res Red ,170,9/29/18,1610,87.60%,317
adidas Yeezy Boost 350 V2 Beluga,Steeple Gray/Beluga/Solar Red ,220,9/24/16,1526,227.30%,829
adidas Ultra Boost 1.0 UNDFTD Black,Core Black/Core Black/Footwear White ,#NUM!,4/14/18,1442,NaN,289
adidas EQT Support 93/17 Triple Black,Core Black/Core Black/Core Black ,180,11/24/17,1437,-36.10%,130
adidas Ultra Boost 4.0 A Ma Maniere x Invincible Cashmere Wool,Chalk White/Footwear White/Chalk White ,200,12/16/17,1431,6.50%,238
adidas Ultra Boost Lux Sneakersnstuff x Social Status Vintage White,Vintage White/Chalk White/Clear Brown ,200,12/20/17,1410,-33.50%,149
adidas NMD R1 Colour Static Rainbow,Core White/Multi-Color ,170,11/11/17,1405,32.40%,184
adidas Ultra Boost Clima Core Black Solar Red,Core Black/Core Black/Solar Red ,220,6/14/18,1402,-29.10%,152
adidas Ultra Boost 4.0 Breast Cancer Awareness,Cloud White/Core Black/Shock Pink ,180,9/1/18,1393,-22.20%,163
adidas NMD Hu Pharrell Solar Pack Orange,White/Black/Orange ,250,8/18/18,1287,-8.00%,273
adidas Ultra Boost 2.0 Multi-Color,White/White/Red ,180,7/27/16,1261,15.00%,243
adidas NMD R1 Tri Color Stripes Black,Core Black/White ,170,12/3/16,1194,17.10%,269
adidas Ultra Boost 4.0 Chinese New Year (2018),Core Black/High Res Red/Grey Five ,180,1/1/18,1176,20.60%,226
