ID,Brand,Color,Retail_Price ($),Avg_Sale_Price ($),Number_of_Sales
0,Nike,Black,174.75,258.05,4154
1,Nike,Blue,180.63,270.38,6392.13
2,Nike,Green,146.43,284.71,2755.71
3,Nike,Grey,188.75,238.25,1446.5
4,Nike,Multicolor,170,266.75,1334.25
5,Nike,Orange,201.67,308.67,2098
6,Nike,Pink,200,308,3870
7,Nike,Purple,140,326.5,5755
8,Nike,Red,173.13,234.25,3810.63
9,Nike,Tan,176,360.4,2500.6
10,Nike,White,175.28,301.19,3174
11,Nike,Yellow,155,175.2,1478.6
12,Adidas,Black,186.72,235.95,1747.19
13,Adidas,Blue,200,245.67,11163.67
14,Adidas,Brown,350,737,722
15,Adidas,Grey,200,323.57,11208.29
16,Adidas,Multicolor,166.67,179.67,648.67
17,Adidas,Orange,150,227.5,1335
18,Adidas,Pink,165,191.5,17503
19,Adidas,Red,220,295.5,1321.25
20,Adidas,Tan,170,207,1019.33
21,Adidas,White,186.47,201.09,1878.59
22,Adidas,Yellow,220,397.25,13381